weekly_study_time_band,past_class_failures,school_absences,family_educational_support,plans_higher_education,final_grade
2,0,4,no,yes,11
2,0,2,yes,yes,11
2,0,6,no,yes,12
3,0,0,yes,yes,14
2,0,0,yes,yes,13
2,0,6,yes,yes,13
2,0,0,no,yes,13
2,0,2,yes,yes,13
2,0,0,yes,yes,17
2,0,0,yes,yes,13
2,0,2,yes,yes,14
3,0,0,yes,yes,13
1,0,0,yes,yes,12
2,0,0,yes,yes,13
3,0,0,yes,yes,15
1,0,6,yes,yes,17
3,0,10,yes,yes,14
2,0,2,yes,yes,14
1,3,2,yes,yes,7
1,0,6,no,yes,12
2,0,0,no,yes,14
1,0,0,yes,yes,12
2,0,0,no,yes,14
2,0,2,yes,yes,10
3,0,2,yes,yes,10
1,0,6,yes,yes,12
1,0,8,yes,yes,12
1,0,0,no,yes,11
2,0,2,yes,yes,13
2,0,4,yes,yes,12
2,0,0,yes,yes,11
2,0,2,yes,yes,15
2,0,0,yes,yes,15
2,0,0,no,yes,12
1,0,4,yes,yes,12
1,0,4,yes,yes,11
3,0,0,yes,yes,14
3,0,4,yes,yes,13
3,0,2,yes,yes,12
1,0,8,yes,yes,12
2,0,16,yes,yes,10
1,0,8,yes,yes,11
2,0,0,yes,yes,15
1,0,0,yes,yes,10
2,1,14,no,yes,11
2,0,4,yes,yes,11
2,0,6,yes,yes,13
4,0,2,no,yes,17
2,0,4,yes,yes,13
2,0,2,yes,yes,12
2,0,0,yes,yes,13
2,0,0,yes,yes,16
1,0,4,no,yes,9
1,0,0,yes,yes,12
1,0,0,no,yes,13
2,0,2,no,yes,12
2,0,0,yes,yes,15
2,0,8,yes,yes,16
2,0,0,yes,yes,14
2,0,2,yes,yes,16
2,0,0,yes,yes,16
1,0,0,yes,yes,16
2,0,0,no,yes,10
3,0,0,yes,yes,13
2,0,0,no,yes,12
2,0,2,yes,yes,16
4,0,0,yes,yes,12
4,0,0,yes,yes,10
2,0,0,yes,yes,11
4,0,6,yes,yes,15
4,0,2,yes,yes,11
4,0,0,no,yes,10
2,0,2,yes,yes,11
1,0,0,no,yes,14
2,0,4,yes,yes,11
2,0,0,yes,yes,11
4,0,0,no,yes,11
4,0,1,no,yes,13
1,3,0,yes,no,10
2,0,14,yes,yes,11
1,0,0,yes,yes,12
3,0,2,no,yes,9
2,0,4,yes,yes,11
2,0,2,no,yes,13
2,0,2,yes,yes,12
2,0,4,no,yes,12
2,0,6,yes,yes,11
3,0,4,yes,yes,15
2,0,6,no,yes,11
2,0,6,yes,yes,10
3,0,2,yes,yes,11
1,0,6,no,yes,13
2,0,0,yes,yes,12
2,0,2,yes,yes,14
4,0,2,yes,yes,12
4,0,4,yes,yes,13
1,0,6,yes,yes,11
2,0,0,yes,yes,12
1,0,4,no,yes,13
3,0,2,yes,yes,13
1,0,12,yes,yes,8
3,0,0,yes,yes,16
1,0,2,yes,yes,12
2,0,16,yes,yes,10
2,0,0,yes,yes,16
4,0,10,no,yes,10
4,0,4,yes,yes,10
3,0,4,yes,yes,14
4,0,8,yes,yes,11
3,0,2,yes,yes,14
1,0,4,no,yes,14
3,0,4,yes,yes,11
2,1,12,no,yes,10
1,0,10,no,yes,18
2,0,4,no,yes,10
2,0,6,yes,yes,14
2,0,4,yes,yes,16
1,0,6,no,yes,15
2,1,14,yes,yes,11
1,0,2,no,yes,14
2,0,0,no,yes,14
4,0,6,yes,yes,13
2,0,2,yes,yes,13
1,0,4,yes,yes,13
2,0,0,no,yes,11
1,0,2,no,yes,9
2,0,0,no,yes,11
2,2,0,yes,no,11
1,0,8,no,yes,15
3,0,4,yes,yes,13
3,0,0,yes,yes,12
2,3,10,yes,no,8
1,0,8,yes,yes,11
1,0,6,yes,yes,13
1,0,2,yes,yes,12
1,0,12,no,yes,14
1,0,4,no,yes,11
1,1,12,no,yes,11
2,0,2,yes,yes,11
3,0,4,yes,yes,15
2,0,2,no,yes,10
2,0,0,yes,yes,13
1,0,2,no,yes,12
3,0,10,yes,yes,11
1,0,8,yes,yes,11
1,0,4,yes,yes,10
2,2,0,no,yes,10
1,0,6,no,yes,14
1,1,2,no,yes,9
4,0,6,yes,yes,11
2,0,24,no,yes,9
3,0,0,yes,yes,13
1,0,4,yes,yes,11
3,0,2,yes,yes,13
1,0,4,no,yes,11
1,0,22,yes,yes,6
2,0,0,yes,yes,12
1,0,0,yes,no,10
2,1,2,yes,yes,11
2,0,6,yes,yes,13
2,0,6,no,yes,11
1,0,16,yes,no,8
1,0,0,no,yes,11
1,2,0,no,no,0
1,1,6,no,yes,10
3,0,2,yes,yes,13
1,0,6,yes,no,11
1,0,0,yes,yes,13
2,0,0,no,yes,8
1,3,14,no,yes,10
1,3,6,yes,yes,11
1,0,4,no,yes,11
2,1,0,yes,yes,1
1,2,0,no,yes,10
1,1,8,no,no,9
2,2,4,yes,yes,8
1,0,2,no,yes,10
1,1,2,no,no,8
2,0,0,no,no,8
1,3,10,yes,no,8
2,0,0,no,no,11
2,0,0,no,yes,18
2,0,0,yes,yes,13
2,0,0,yes,yes,17
1,1,4,yes,yes,10
2,0,0,yes,yes,18
2,0,0,yes,yes,10
2,0,0,no,yes,13
2,0,0,yes,yes,15
2,0,0,no,yes,11
2,0,0,no,yes,14
2,0,4,no,yes,10
1,0,8,yes,yes,11
2,0,4,yes,yes,13
2,0,4,yes,yes,11
2,0,0,no,yes,13
2,0,0,yes,yes,17
2,0,32,yes,yes,14
2,0,8,yes,yes,16
2,0,6,yes,yes,14
1,0,0,yes,yes,11
2,0,0,no,yes,16
2,0,10,yes,yes,14
2,0,6,no,yes,10
2,0,6,no,yes,13
2,0,0,no,yes,12
2,0,16,no,yes,12
1,0,0,yes,yes,10
1,0,0,no,yes,12
2,0,8,no,yes,16
1,0,4,no,yes,14
1,0,16,yes,yes,12
1,1,30,yes,yes,16
2,0,0,yes,yes,11
2,0,2,yes,yes,15
2,0,4,yes,yes,12
2,0,0,yes,yes,15
1,0,21,yes,yes,13
4,0,6,yes,yes,13
3,1,14,yes,yes,8
2,0,2,yes,yes,12
2,0,4,no,yes,15
1,0,2,yes,yes,13
3,0,0,yes,yes,12
4,0,4,yes,yes,12
2,0,15,yes,yes,12
2,0,0,yes,yes,13
2,0,10,yes,yes,11
1,0,6,yes,yes,11
2,0,2,no,yes,15
2,0,16,no,yes,10
2,0,10,yes,yes,10
1,0,4,yes,yes,13
3,0,0,yes,yes,13
2,0,0,yes,yes,11
3,0,12,yes,yes,12
2,0,0,no,yes,14
2,3,9,yes,yes,10
3,0,4,yes,yes,16
2,0,4,no,yes,8
2,0,2,no,yes,17
2,0,0,yes,yes,11
2,0,2,yes,yes,11
3,0,0,no,yes,16
2,0,0,no,yes,12
2,0,0,yes,yes,13
2,0,0,yes,yes,13
2,0,0,yes,yes,14
2,0,2,yes,yes,9
3,0,0,no,yes,12
2,0,0,no,yes,16
1,0,4,no,yes,10
2,0,0,no,yes,13
2,1,18,yes,yes,10
2,1,16,yes,yes,10
1,1,14,no,no,7
1,1,26,yes,no,8
1,0,6,yes,yes,9
2,0,4,no,yes,15
3,0,10,yes,yes,10
1,0,4,no,no,11
2,0,2,no,yes,13
1,1,14,yes,yes,8
2,0,16,no,no,8
1,1,8,yes,no,10
3,0,4,no,yes,15
2,0,4,yes,yes,14
2,0,8,no,yes,15
2,0,0,yes,yes,12
1,0,7,no,yes,15
1,0,4,no,yes,15
2,0,2,yes,yes,12
3,0,2,no,yes,15
3,0,10,yes,yes,11
2,0,10,no,yes,10
3,0,10,yes,yes,11
1,0,7,no,yes,16
2,0,4,yes,yes,11
1,0,2,no,yes,13
1,3,12,no,no,5
2,0,8,yes,yes,10
1,0,0,no,yes,11
1,0,8,no,no,7
2,1,4,yes,yes,10
1,2,4,no,no,6
1,0,2,no,yes,12
1,0,0,no,yes,13
1,1,0,yes,yes,10
2,0,2,yes,yes,13
4,0,2,yes,yes,17
2,0,0,yes,yes,11
2,1,4,no,no,11
3,0,2,yes,yes,14
3,0,4,yes,yes,14
2,0,4,no,yes,13
2,0,4,yes,yes,14
2,0,2,no,yes,16
1,0,0,no,no,10
4,0,2,no,yes,12
2,0,8,yes,no,12
2,0,2,yes,yes,15
2,0,2,yes,yes,11
3,0,2,no,yes,12
3,0,2,no,yes,13
3,0,0,yes,yes,13
1,0,8,no,no,9
2,0,6,yes,yes,16
2,0,0,no,yes,14
2,0,8,no,yes,12
2,0,4,yes,yes,14
2,0,12,yes,no,10
2,0,16,yes,yes,12
4,0,10,yes,yes,16
2,0,2,yes,yes,13
2,0,2,yes,yes,18
2,0,8,yes,yes,15
2,0,6,yes,yes,16
2,0,6,yes,yes,12
2,0,15,no,no,10
1,0,6,no,yes,12
2,1,2,yes,yes,13
3,0,8,yes,yes,15
2,1,0,yes,no,10
1,0,0,no,yes,10
1,0,10,no,no,11
1,0,22,no,yes,10
1,0,18,no,yes,13
4,0,2,yes,yes,18
2,0,0,no,yes,13
2,0,12,yes,yes,14
2,0,10,no,yes,14
2,0,0,no,yes,12
3,0,0,yes,yes,18
3,0,0,yes,yes,14
3,0,0,no,yes,15
2,0,0,yes,yes,17
2,0,2,yes,yes,16
3,0,0,yes,yes,18
4,0,0,yes,yes,19
3,0,0,yes,yes,15
1,0,0,yes,yes,15
2,0,2,yes,yes,13
2,0,0,yes,yes,14
4,0,0,yes,yes,17
1,0,0,yes,yes,17
2,0,0,yes,yes,15
1,0,0,no,yes,13
3,0,0,yes,yes,8
3,0,0,yes,yes,16
4,0,0,yes,yes,18
3,1,0,no,yes,11
1,2,0,no,yes,15
2,0,0,no,yes,11
2,0,2,yes,yes,11
2,0,2,yes,yes,15
2,0,2,no,yes,14
1,0,2,no,yes,17
3,0,2,yes,yes,17
1,0,8,yes,yes,15
3,0,2,yes,yes,17
2,0,8,yes,yes,14
2,0,9,yes,yes,10
2,0,0,yes,yes,13
1,0,4,yes,yes,14
1,0,2,no,yes,17
2,0,14,yes,yes,17
2,0,0,yes,yes,13
2,0,2,no,yes,14
1,0,2,yes,yes,11
3,0,12,no,no,11
2,2,2,yes,yes,9
1,0,2,yes,yes,10
2,0,4,yes,yes,13
3,0,0,yes,yes,10
3,0,0,yes,yes,17
3,0,0,no,yes,15
3,0,0,no,yes,14
3,0,0,no,yes,13
1,0,0,no,yes,17
1,0,2,yes,yes,10
3,0,0,yes,yes,13
3,0,4,yes,yes,15
1,0,2,yes,yes,11
4,0,0,yes,yes,12
1,0,0,yes,yes,10
2,0,2,no,yes,10
3,0,0,yes,yes,15
1,0,6,no,yes,15
2,0,8,no,yes,12
2,0,0,no,yes,12
4,0,6,no,yes,14
3,0,8,no,yes,14
2,0,0,yes,yes,15
4,0,4,yes,yes,15
2,0,0,yes,yes,16
2,0,0,yes,yes,13
2,0,6,no,yes,17
2,0,18,yes,yes,14
3,0,0,yes,yes,14
3,0,4,no,yes,17
3,0,4,no,yes,17
3,0,0,yes,yes,14
3,0,0,yes,yes,13
2,0,10,yes,yes,15
2,0,4,yes,yes,16
1,1,16,no,no,11
1,1,6,yes,yes,13
3,2,0,no,yes,12
2,0,11,yes,no,12
2,0,9,no,yes,15
2,0,0,yes,yes,17
3,0,2,yes,yes,15
2,0,0,yes,yes,17
2,2,21,yes,no,10
3,0,8,no,yes,15
1,1,5,yes,yes,11
2,0,10,yes,yes,18
3,0,5,yes,yes,17
1,0,13,no,yes,14
1,0,10,no,yes,11
2,0,10,yes,yes,17
1,1,5,no,yes,10
2,0,4,yes,yes,13
1,0,11,yes,no,11
2,0,0,yes,yes,12
1,1,6,yes,yes,10
1,0,4,yes,yes,11
2,0,0,no,yes,17
1,0,0,no,no,9
2,0,5,yes,yes,11
3,0,0,no,yes,11
2,1,0,no,yes,10
1,1,0,yes,no,7
1,0,0,no,yes,14
4,0,4,no,no,11
2,0,0,yes,yes,10
1,1,4,yes,yes,8
1,0,0,yes,yes,12
1,0,2,yes,yes,12
1,0,0,no,yes,16
2,0,0,yes,yes,0
2,0,4,no,yes,9
2,0,0,yes,yes,14
2,0,7,yes,yes,8
2,0,4,no,yes,11
2,0,8,yes,yes,9
2,0,0,yes,yes,11
1,0,8,no,no,9
3,0,6,no,yes,17
